City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
138,Aloleng,PH,16.1307,119.7824,86.49,60,93,5.44,overcast clouds
139,Dikson,RU,73.5069,80.5464,-13.59,83,100,6.29,overcast clouds
140,Blagoyevo,RU,63.3667,47.9167,12.42,84,100,8.5,overcast clouds
141,Bonavista,CA,48.6499,-53.1147,37.11,90,100,10.22,overcast clouds
142,Marzuq,YE,14.4,46.4667,56.48,49,0,3.24,clear sky
143,Doha,QA,25.2867,51.5333,64.38,63,0,5.75,clear sky
144,Novikovo,RU,51.1537,37.8879,29.12,88,99,9.55,overcast clouds
145,Islamkot,PK,24.6997,70.177,69.39,18,5,7.61,clear sky
146,Upernavik,GL,72.7868,-56.1549,4.64,91,100,9.91,overcast clouds
147,Mount Isa,AU,-20.7333,139.5,98.37,8,0,6.91,clear sky
148,Lashio,MM,22.9333,97.75,71.47,64,23,1.45,few clouds
149,Georgetown,MY,5.4112,100.3354,85.95,62,20,8.05,few clouds
150,Lima,PE,-12.0432,-77.0282,63.14,88,75,9.22,broken clouds
151,Vizinga,RU,61.0749,50.1031,8.67,89,100,6.11,overcast clouds
152,Torbay,CA,47.6666,-52.7314,37.76,96,90,14.97,light rain
153,Sao Filipe,CV,14.8961,-24.4956,74.39,69,75,4.25,broken clouds
154,Atar,MR,20.5169,-13.0499,67.28,17,40,10.74,scattered clouds
155,Poum,NC,-20.2333,164.0167,82.17,79,100,18.5,light rain
156,Mahebourg,MU,-20.4081,57.7,82.26,69,75,13.8,broken clouds
157,Yakeshi,CN,49.2833,120.7333,0.55,85,5,11.5,clear sky
158,East London,ZA,-33.0153,27.9116,67.14,94,90,4.61,fog
159,Ixtapa,MX,20.7,-105.2,70.83,88,1,0.0,clear sky
160,Christchurch,NZ,-43.5333,172.6333,59.32,63,90,3.0,overcast clouds
161,Nanning,CN,22.8167,108.3167,72.05,56,99,7.58,overcast clouds
162,Oranjemund,NA,-28.55,16.4333,59.56,89,61,6.15,broken clouds
163,Veraval,IN,20.9,70.3667,77.07,49,0,9.15,clear sky
164,Thyboron,DK,56.6985,8.2124,36.21,92,100,16.87,overcast clouds
165,Prieska,ZA,-29.6641,22.7474,71.89,57,0,5.57,clear sky
166,Paamiut,GL,61.994,-49.6678,23.99,86,100,23.69,overcast clouds
167,Mendi,PG,-6.1761,143.6513,61.3,95,89,2.73,overcast clouds
168,Lagoa,PT,39.05,-27.9833,61.14,67,100,19.37,overcast clouds
169,Bethel,US,41.3712,-73.414,59.59,77,90,1.99,overcast clouds
170,Aransas Pass,US,27.9095,-97.15,57.2,55,1,7.0,clear sky
171,Buraydah,SA,26.326,43.975,50.5,48,54,4.41,broken clouds
172,Litovko,RU,49.2361,135.1742,18.03,94,100,4.94,light snow
173,Sonoma,US,38.55,-122.9011,48.83,80,90,3.44,overcast clouds
174,Fukue,JP,32.6881,128.8419,57.6,68,38,23.22,scattered clouds
175,Nyimba,ZM,-14.5566,30.8149,73.74,47,44,3.8,scattered clouds
176,Faya,SA,18.3851,42.4509,37.92,39,98,2.82,overcast clouds
177,Ulaangom,MN,49.9811,92.0667,2.66,92,97,1.88,overcast clouds
178,Longyearbyen,SJ,78.2186,15.6401,33.64,69,75,21.85,light intensity drizzle
179,Malaia,RO,45.35,24.0333,36.75,99,100,7.0,light rain
180,Ukiah,US,39.1502,-123.2078,50.63,80,90,5.75,light rain
181,Balikpapan,ID,-1.2675,116.8289,85.59,63,100,6.08,overcast clouds
182,Molina,CL,-35.1167,-71.2833,60.53,77,90,4.61,overcast clouds
183,Tank,PK,32.2217,70.3793,63.46,18,100,0.92,overcast clouds
184,Kudahuvadhoo,MV,2.6708,72.8944,79.48,81,100,19.51,light rain
185,Lusambo,CD,-4.9667,23.45,69.19,99,100,1.43,light rain
186,Bengkulu,ID,-3.8004,102.2655,76.26,89,100,1.36,overcast clouds
187,Xianshuigu,CN,38.985,117.3828,33.8,25,0,15.66,clear sky
188,Olbia,IT,40.9214,9.4856,45.27,69,3,3.71,clear sky
189,Ribeira Grande,PT,38.5167,-28.7,61.86,68,100,16.22,overcast clouds
190,Constitucion,CL,-35.3333,-72.4167,50.7,88,0,5.88,clear sky
191,Muros,ES,42.7762,-9.0603,53.83,96,95,4.16,overcast clouds
192,Libenge,CD,3.65,18.6333,71.22,51,93,2.86,overcast clouds
193,Prince Rupert,CA,54.3161,-130.3201,32.09,93,75,10.36,light snow
194,Hualmay,PE,-11.0964,-77.6139,66.78,88,54,8.23,broken clouds
195,Choma,ZM,-16.8065,26.9531,68.25,41,26,5.01,scattered clouds
196,Krasnoselkup,RU,65.7,82.4667,-16.82,97,75,8.25,broken clouds
197,Dunedin,NZ,-45.8742,170.5036,58.8,51,19,7.0,few clouds
198,Fairbanks,US,64.8378,-147.7164,-4.9,77,90,8.05,mist
199,Chengde,CN,40.9725,117.9361,25.99,27,0,16.67,clear sky
200,Thompson,CA,55.7435,-97.8558,-2.0,91,79,2.75,broken clouds
201,Codrington,AU,-38.2667,141.9667,74.43,42,5,16.33,clear sky
202,Kawalu,ID,-7.3817,108.2082,87.28,55,25,4.99,scattered clouds
203,Katsuura,JP,35.1333,140.3,55.51,65,34,23.02,scattered clouds
204,Escarcega,MX,18.6089,-90.7454,76.87,67,92,2.24,overcast clouds
205,Ketchikan,US,55.3422,-131.6461,32.47,86,90,4.61,light snow
206,Waddan,LY,29.1614,16.139,49.35,47,0,7.23,clear sky
207,Cayambe,EC,0.05,-78.1333,49.26,99,100,4.74,light rain
208,Formosa,AR,-26.1775,-58.1781,75.9,53,85,5.91,overcast clouds
209,Vanimo,PG,-2.6741,141.3028,85.68,68,100,5.55,overcast clouds
210,Nueva Italia,PY,-25.6167,-57.5,78.03,47,76,2.62,broken clouds
211,Bariri,BR,-22.0744,-48.7403,74.95,45,51,2.44,broken clouds
212,Rongcheng,CN,30.634,117.8517,47.62,88,100,5.68,overcast clouds
213,Flinders,AU,-34.5833,150.8552,73.8,66,41,15.17,scattered clouds
214,Ljungby,SE,56.8332,13.9408,30.61,92,100,3.38,overcast clouds
215,Evensk,RU,61.95,159.2333,2.43,59,94,16.42,overcast clouds
216,Pangnirtung,CA,66.1451,-65.7125,-11.58,81,5,4.47,clear sky
217,Coxim,BR,-18.5067,-54.76,80.4,57,93,3.11,overcast clouds
218,San Cristobal,VE,7.7669,-72.225,66.38,95,96,2.75,overcast clouds
219,Niltepec,MX,16.5667,-94.6167,73.85,92,1,3.94,clear sky
220,Port Hardy,CA,50.6996,-127.4199,40.75,80,100,8.1,light rain
221,Noumea,NC,-22.2763,166.4572,87.01,99,99,12.44,light rain
222,Patitirion,GR,39.15,23.8667,58.48,64,14,22.91,few clouds
223,Nantucket,US,41.2835,-70.0995,61.03,91,90,33.38,mist
224,Inirida,CO,3.8653,-67.9239,73.47,97,100,0.58,overcast clouds
225,Svolvaer,NO,68.2342,14.5683,33.39,98,100,6.82,overcast clouds
226,Mbandaka,CD,0.0487,18.2603,74.97,83,100,3.13,overcast clouds
227,Huangmei,CN,30.1924,116.025,49.01,81,100,7.54,overcast clouds
228,Asyut,EG,27.181,31.1837,64.8,29,100,5.19,overcast clouds
229,Emirdag,TR,39.0197,31.15,44.13,82,100,5.73,overcast clouds
230,Cape Coast,GH,5.1053,-1.2466,79.39,84,62,5.37,broken clouds
231,Izumo,JP,35.3667,132.7667,57.85,63,72,15.55,broken clouds
232,Keti Bandar,PK,24.1447,67.4497,70.7,38,89,6.35,overcast clouds
233,Platanos,GR,37.6667,21.6167,57.07,77,99,12.95,overcast clouds
234,Ilulissat,GL,69.2167,-51.1,19.42,58,95,4.61,overcast clouds
235,Ostrovnoy,RU,68.0531,39.5131,24.39,92,99,15.26,overcast clouds
236,San Quintin,MX,30.4833,-115.95,57.43,64,0,8.9,clear sky
237,Carnot,CF,4.9409,15.8665,70.48,33,67,2.48,broken clouds
238,Marks,RU,51.7111,46.7486,19.33,78,8,8.14,clear sky
239,Moussoro,TD,13.6408,16.4901,68.61,24,30,10.47,scattered clouds
240,Asau,RO,46.4333,26.4,40.95,87,100,5.01,light rain
241,Aitape,PG,-3.1374,142.3475,86.11,69,99,6.04,overcast clouds
242,Fartura,BR,-23.3883,-49.51,71.53,47,90,2.46,overcast clouds
243,Comodoro Rivadavia,AR,-45.8667,-67.5,58.86,38,0,27.63,clear sky
244,Dingle,PH,10.9995,122.6711,83.84,78,99,13.04,overcast clouds
245,Saint-Pierre,RE,-21.3393,55.4781,83.28,64,0,3.44,clear sky
246,Komsomolskiy,UZ,40.4272,71.7189,34.52,51,35,4.61,scattered clouds
247,Aklavik,CA,68.2191,-135.0107,-2.63,93,100,20.33,overcast clouds
248,Ponta Do Sol,PT,32.6667,-17.1,65.01,78,54,3.38,broken clouds
249,Coruripe,BR,-10.1256,-36.1756,77.79,78,2,11.52,clear sky
250,San Ignacio,BZ,17.1561,-89.0714,71.4,97,7,2.75,clear sky
251,Souillac,MU,-20.5167,57.5167,82.36,69,75,13.8,broken clouds
252,Marystown,CA,47.1666,-55.1483,39.85,100,100,16.42,overcast clouds
